Stanford,Math,MATH 19,Calculus,"Aut, Win",3,"Introduction to differential calculus of functions of one variable. Review of elementary functions (including exponentials and logarithms), limits, rates of change, the derivative and its properties, applications of the derivative. Prerequisites: trigonometry, advanced algebra, and analysis of elementary functions (including exponentials and logarithms). You must have taken the math placement diagnostic (offered through the Math Department website) in order to register for this course.","trigonometry, advanced algebra, and analysis of elementary functions (including exponentials and logarithms). You must have taken the math placement diagnostic (offered through the Math Department website) in order to register for this course.",,,,
Stanford,Math,MATH 20,Calculus,"Aut, Win, Spr",3,"The definite integral, Riemann sums, antiderivatives, the Fundamental Theorem of Calculus, and the Mean Value Theorem for integrals. Integration by substitution and by parts. Area between curves, and volume by slices, washers, and shells. Initial-value problems, exponential and logistic models, direction fields, and parametric curves. Prerequisite:  Math 19 or equivalent. If you have not previously taken a calculus course at Stanford then you must have taken the math placement diagnostic (offered through the Math Department website) in order to register for this course.",,,,,
Stanford,Math,MATH 21,Calculus,"Aut, Win, Spr",4,"Review of limit rules. Sequences, functions, limits at infinity, and comparison of growth of functions. Review of integration rules, integrating rational functions, and improper integrals. Infinite series, special examples, convergence and divergence tests (limit comparison and alternating series tests). Power series and interval of convergence, Taylor polynomials, Taylor series and applications. Prerequisite:  Math 20 or equivalent. If you have not previously taken a calculus course at Stanford then you must have taken the math placement diagnostic (offered through the Math Department website) in order to register for this course.",,,,,
Stanford,Math,MATH 21A,"Calculus, ACE","Aut, Win, Spr",5,"Students attend  MATH 21 lectures with different recitation sessions: two hours per week instead of one, emphasizing engineering applications. Prerequisite: application; see  https://web.stanford.edu/dept/soe/osa/ace.fb",,,,,
Stanford,Math,MATH 51,Linear Algebra and Differential Calculus of Several Variables,"Aut, Win, Spr",5,"Geometry and algebra of vectors, matrices and linear transformations, eigenvalues of symmetric matrices, vector-valued functions and functions of several variables, partial derivatives and gradients, derivative as a matrix, chain rule in several variables, critical points and Hessian, least-squares, , constrained and unconstrained optimization in several variables, Lagrange multipliers. Prerequisite: 21, 42, or the math placement diagnostic (offered through the Math Department website) in order to register for this course.","21, 42, or the math placement diagnostic (offered through the Math Department website) in order to register for this course.",,,,
Stanford,Math,MATH 51A,"Linear Algebra and Differential Calculus of Several Variables, ACE","Aut, Win, Spr",6,"Students attend  MATH 51 lectures with different recitation sessions: three hours per week instead of two, emphasizing engineering applications. Prerequisite: application; see  https://web.stanford.edu/dept/soe/osa/ace.fb",,,,,
Stanford,Math,MATH 52,Integral Calculus of Several Variables,"Aut, Win, Spr",5,"Iterated integrals, line and surface integrals, vector analysis with applications to vector potentials and conservative vector fields, physical interpretations. Divergence theorem and the theorems of Green, Gauss, and Stokes. Prerequisite: 51 or equivalents.",51 or equivalents.,,,,
Stanford,Math,MATH 53,Ordinary Differential Equations with Linear Algebra,"Aut, Win, Spr",5,"Ordinary differential equations and initial value problems, systems of linear differential equations with constant coefficients, applications of second-order equations to oscillations, matrix exponentials, Laplace transforms, stability of non-linear systems and phase plane analysis, numerical methods. Prerequisite: 51 or equivalents.",51 or equivalents.,,,,
Stanford,Math,MATH 61CM,Modern Mathematics: Continuous Methods,Aut,5,"This is the first part of a theoretical (i.e., proof-based) sequence in multivariable calculus and linear algebra, providing a unified treatment of these topics. Covers general vector spaces, linear maps and duality, eigenvalues, inner product spaces, spectral theorem, metric spaces, differentiation in Euclidean space, submanifolds of Euclidean space, inverse and implicit function theorems, and many examples. The linear algebra content is covered jointly with  Math 61DM. Students should know 1-variable calculus and have an interest in a theoretical approach to the subject. Prerequisite: score of 5 on the BC-level Advanced Placement calculus exam, or consent of the instructor.","score of 5 on the BC-level Advanced Placement calculus exam, or consent of the instructor.",,,,
Stanford,Math,MATH 61DM,Modern Mathematics: Discrete Methods,Aut,5,"This is the first part of a theoretical (i.e., proof-based) sequence in discrete mathematics and linear algebra. Covers general vector spaces, linear maps and duality, eigenvalues, inner product spaces, spectral theorem, counting techniques, and linear algebra methods in discrete mathematics including spectral graph theory and dimension arguments. The linear algebra content is covered jointly with  Math 61CM. Students should have an interest in a theoretical approach to the subject. Prerequisite: score of 5 on the BC-level Advanced Placement calculus exam, or consent of the instructor.nnThis sequence is not appropriate for students planning to major in natural sciences, economics, or engineering, but is suitable for majors in any other field (such as MCS (""data science""), computer science, and mathematics).","score of 5 on the BC-level Advanced Placement calculus exam, or consent of the instructor.nnThis sequence is not appropriate for students planning to major in natural sciences, economics, or engineering, but is suitable for majors in any other field (such as MCS (""data science""), computer science, and mathematics).",,,,
Stanford,Math,MATH 62CM,Modern Mathematics: Continuous Methods,Win,5,"A continuation of themes from  Math 61CM, centered around: manifolds, multivariable integration, and the general Stokes' theorem. This includes a treatment of multilinear algebra, further study of submanifolds of Euclidean space and an introduction to general manifolds (with many examples), differential forms and their geometric interpretations, integration of differential forms, Stokes' theorem, and some applications to topology. Prerequisite:  Math 61CM.",,,,,
Stanford,Math,MATH 62DM,Modern Mathematics: Discrete Methods,Win,5,"This is the second part of a proof-based sequence in discrete mathematics. This course covers topics in elementary number theory, group theory, and discrete Fourier analysis. For example, we'll discuss the basic examples of abelian groups arising from congruences in elementary number theory, as well as the non-abelian symmetric group of permutations. Prerequisites: 61DM or 61CM.",61DM or 61CM.,,,,
Stanford,Math,MATH 63CM,Modern Mathematics: Continuous Methods,Spr,5,"A proof-based course on ordinary differential equations, continuing themes from  Math 61CM and  Math 62CM. Topics include linear systems of differential equations and necessary tools from linear algebra, stability and asymptotic properties of solutions to linear systems, existence and uniqueness theorems for nonlinear differential equations with some applications to manifolds, behavior of solutions near an equilibrium point, and Sturm-Liouville theory. Prerequisites:  Math 61CM and  Math 62CM.",,,,,
Stanford,Math,MATH 63DM,Modern Mathematics: Discrete Methods,Spr,5,"Third part of a proof-based sequence in discrete mathematics. This course covers several topics in probability (random variables, independence and correlation, concentration bounds, the central limit theorem) and topology (metric spaces, point-set topology, continuous maps, compactness, Brouwer's fixed point and the Borsuk-Ulam theorem), with some applications in combinatorics. Prerequisites: 61DM or 61CM",61DM or 61CM,,,,
Stanford,Math,MATH 70SI,"The Game of Go: Strategy, Theory, and History",not given this year,1,"Strategy and mathematical theories of the game of Go, with guest appearance by a professional Go player.",,,,,
Stanford,Math,MATH 80Q,Capillary Surfaces: Explored and Unexplored Territory,Win,3,"Preference to sophomores. Capillary surfaces: the interfaces between fluids that are adjacent to each other and do not mix. Recently discovered phenomena, predicted mathematically and subsequently confirmed by experiments, some done in space shuttles. Interested students may participate in ongoing investigations with affinity between mathematics and physics.",,,,,
Stanford,Math,MATH 87Q,"Mathematics of Knots, Braids, Links, and Tangles",Spr,3,"Preference to sophomores. Types of knots and how knots can be distinguished from one another by means of numerical or polynomial invariants. The geometry and algebra of braids, including their relationships to knots. Topology of surfaces. Brief summary of applications to biology, chemistry, and physics.",,,,,
Stanford,Math,MATH 101,Math Discovery Lab,Win,3,"MDL is a discovery-based project course in mathematics. Students work independently in small groups to explore open-ended mathematical problems and discover original mathematics. Students formulate conjectures and hypotheses; test predictions by computation, simulation, or pure thought; and present their results to classmates. No lecture component; in-class meetings reserved for student presentations, attendance mandatory. Admission is by application:  http://math101.stanford.edu. Motivated students with any level of mathematical background are encouraged to apply. WIM",,,,,
Stanford,Math,MATH 104,Applied Matrix Theory,"Win, Spr",3,"Linear algebra for applications in science and engineering: orthogonality, projections, spectral theory for symmetric matrices, the singular value decomposition, the QR decomposition, least-squares, the condition number of a matrix, algorithms for solving linear systems. ( Math 113 offers a more theoretical treatment of linear algebra.) Prerequisites:  Math 51 and programming experience on par with CS106nnMath 104 and  EE103/CME103 cover complementary topics in applied linear algebra. The focus of  Math 104 is on algorithms and concepts; the focus of EE103 is on a few linear algebra concepts, and many applications.",,,,,
Stanford,Math,MATH 106,Functions of a Complex Variable,Win,3,"Complex numbers, analytic functions, Cauchy-Riemann equations, complex integration, Cauchy integral formula, residues, elementary conformal mappings. ( Math 116 offers a more theoretical treatment.) Prerequisite: 52.",52.,,,,
Stanford,Math,MATH 107,Graph Theory,Spr,3,"An introductory course in graph theory establishing fundamental concepts and results in variety of topics. Topics include: basic notions, connectivity, cycles, matchings, planar graphs, graph coloring, matrix-tree theorem, conditions for hamiltonicity, Kuratowski's theorem, Ramsey and Turan-type theorem. Prerequisites: 51 or equivalent and some familiarity with proofs is required.",51 or equivalent and some familiarity with proofs is required.,,,,
Stanford,Math,MATH 108,Introduction to Combinatorics and Its Applications,Win,3,"Topics: graphs, trees (Cayley's Theorem, application to phylogony), eigenvalues, basic enumeration (permutations, Stirling and Bell numbers), recurrences, generating functions, basic asymptotics. Prerequisites: 51 or equivalent.",51 or equivalent.,,,,
Stanford,Math,MATH 109,Applied Group Theory,Spr,3,"Applications of the theory of groups. Topics: elements of group theory, groups of symmetries, matrix groups, group actions, and applications to combinatorics and computing. Applications: rotational symmetry groups, the study of the Platonic solids, crystallographic groups and their applications in chemistry and physics. Honors math majors and students who intend to do graduate work in mathematics should take 120. WIM.",,,,,
Stanford,Math,MATH 110,Applied Number Theory and Field Theory,Spr,3,"Number theory and its applications to modern cryptography. Topics: congruences, finite fields, primality testing and factorization, public key cryptography, error correcting codes, and elliptic curves, emphasizing algorithms. WIM.",,,,,
